,hostsp,decade,fishcount,avg.tp,sqn.tp,se.tp,change in tp
1,hake,1930,10,2.624596152,9,0.874865384,
2,hake,1980,9,2.567149832,8,0.907624527,-0.057446321
3,hake,1990,9,2.679145949,8,0.947221134,0.111996118
4,hake,2010,9,2.44600113,8,0.864791993,-0.233144819
5,herring,1930,5,2.876608386,4,1.438304193,
6,herring,1950,7,2.97838661,6,1.215921242,0.101778224
7,herring,1960,4,2.904209855,3,1.676746342,-0.074176755
8,herring,1980,10,3.067269783,9,1.022423261,0.163059928
9,herring,1990,10,3.175300074,9,1.058433358,0.108030291
10,herring,2010,5,2.916077418,4,1.458038709,-0.259222656
11,pollock,1900,3,3.105763572,2,2.196106482,
12,pollock,1930,10,2.944428538,9,0.981476179,-0.161335034
13,pollock,1940,8,2.898565748,7,1.095554875,-0.04586279
14,pollock,1960,3,3.417209019,2,2.41633167,0.518643272
15,pollock,1980,3,2.674087277,2,1.890865247,-0.743121742
16,pollock,1990,4,3.147672693,3,1.817309676,0.473585415
17,pollock,2000,9,2.93223844,8,1.036702842,-0.215434253
18,pollock,2010,8,3.046988737,7,1.151653492,0.114750297
19,sole,1930,5,2.772903599,4,1.386451799,
20,sole,1940,5,2.77965404,4,1.38982702,0.006750441
21,sole,1950,5,2.489021917,4,1.244510959,-0.290632123
22,sole,1960,3,2.733925807,2,1.933177477,0.244903889
23,sole,1970,5,2.693372579,4,1.34668629,-0.040553227
24,sole,1980,5,2.853147025,4,1.426573513,0.159774446
25,sole,1990,5,2.924897516,4,1.462448758,0.071750491
26,sole,2000,5,2.965124726,4,1.482562363,0.04022721
27,sole,2010,4,2.700957987,3,1.559398821,-0.264166739
28,rock,1920,3,2.960491666,2,2.093383733,
29,rock,1940,6,3.238724139,5,1.448401467,0.278232473
30,rock,1950,5,3.370528735,4,1.685264367,0.131804596
31,rock,1970,5,3.334924826,4,1.667462413,-0.035603909
32,rock,1980,3,3.318368204,2,2.346440659,-0.016556622
33,rock,2000,4,3.530236757,3,2.038183142,0.211868553