year,avg_biomass
1973,"4,620"
1974,"4,307"
1975,692
1976,912
1977,895
1978,747
1979,739
1980,"1,010"
1981,738
1982,711
1983,856
1984,801
1985,775
1986,718
1987,650
1988,590
1989,617
1990,700
1991,679
1992,570
1993,697
1994,695
1995,704
1996,588
1997,484
1998,487
1999,697
2000,591
2001,772
2002,804
2003,681
2004,545
2005,514
2006,806
2007,557
2008,498
2009,581
2010,344
2011,635
2012,351
2013,317
2014,423
2015,572
2016,527
2017,390
2018,467
2019,359
2020,884
2021,466